CategoryId,UnitsSoldCurrent,UnitsSoldPrev,Next
4,49,35,61
5,19,57,32
5,7,11,7
113,94,45,119
38,735,657,642
38,784,551,623
5,7,6,14
137,49,48,43
4,49,44,24
4,31,45,59
113,282,158,263
137,842,288,195
137,173,163,223
38,117,416,175
137,223,173,390
137,271,276,314
38,1078,714,791
5,6,8,2
4,45,53,42
137,13,4,2
113,89,116,238
38,551,389,784
5,26,21,10
113,237,246,218
4,12,13,8
113,218,237,89
113,246,304,237
4,53,28,45
4,13,8,12
5,13,16,28
113,139,220,202
137,73,100,63
5,3,8,0
5,18,28,12
137,67,59,56
113,42,33,45
38,416,58,117
5,4,10,7
113,537,277,220
5,21,12,26
113,93,12,9
38,389,549,551
137,288,214,842
38,522,524,747
5,2,10,11
137,95,56,100
113,119,94,227
5,8,32,17
4,124,42,57
4,13,4,12
4,61,49,49
137,209,211,163
38,172,173,220
38,175,117,173
5,3,10,6
38,192,529,0
4,40,26,44
4,49,61,36
113,45,42,94
4,55,59,7
137,390,223,270
38,555,580,601
4,24,49,36
113,227,119,166
137,6,44,10
38,516,355,728
4,57,124,12
38,465,521,720
38,524,561,522
38,657,601,735
113,158,227,282
137,136,79,48
137,276,237,271
38,580,659,555
137,137,148,332
4,28,7,53
38,733,642,714
4,9,8,20
4,62,29,45
5,3,8,2
38,771,1252,641
137,214,331,288
137,127,118,148
4,8,12,9
113,118,111,146
113,137,149,111
113,26,9,33
38,839,728,521
38,659,1036,580
113,141,171,165
113,89,218,0
4,7,55,28
38,848,641,1036
38,1252,720,771
38,601,555,657
38,720,465,1252
38,791,1078,1414
113,146,118,549
5,32,19,8
38,642,735,733
113,171,263,141
4,42,45,124
137,148,127,137
113,227,549,158
4,34,11,29
4,37,64,31
5,20,35,10
5,28,13,18
137,10,6,4
137,2,13,79
137,211,332,209
5,11,14,57
113,549,146,227
38,355,747,516
5,10,20,8
4,31,31,26
4,31,37,31
113,12,0,93
5,2,6,16
113,152,192,584
5,11,2,7
137,182,195,237
113,192,155,152
38,705,560,663
137,43,49,59
38,714,733,1078
113,263,282,171
38,58,0,416
4,21,24,35
5,7,4,8
5,7,7,7
5,16,2,13
113,238,89,105
5,14,7,11
113,9,93,26
113,584,152,277
5,57,11,19
5,17,8,15
137,59,43,67
113,277,584,537
137,195,842,182
4,59,31,55
137,331,351,214
38,1414,791,549
113,155,179,192
4,26,31,66
113,116,166,89
5,8,7,8
4,45,62,31
5,10,2,4
38,663,705,561
4,11,66,34
137,351,270,331
5,7,7,6
4,26,20,40
5,10,26,3
113,304,202,246
4,35,21,49
4,12,57,0
38,220,172,560
137,44,2,6
4,29,34,62
5,8,4,3
38,529,621,192
4,36,49,64
137,314,271,322
5,11,6,17
5,3,17,4
38,560,220,705
137,100,95,73
5,35,2,20
137,63,73,59
137,270,390,351
113,185,189,179
137,163,209,173
38,173,175,172
4,64,36,37
113,149,116,137
5,17,11,3
113,33,26,42
4,44,40,49
5,15,17,10
137,79,2,136
4,24,12,21
38,621,623,529
5,12,18,21
137,48,136,49
137,59,63,76
5,4,3,8
137,61,322,0
4,20,9,26
5,8,8,3
38,549,1414,389
38,728,516,839
113,202,139,304
137,118,76,127
113,189,165,185
38,561,663,524
5,2,3,10
137,4,10,13
4,36,24,4
38,747,522,355
113,166,227,116
38,1036,848,659
5,8,10,6
137,237,182,276
4,66,26,11
137,332,137,211
38,623,784,621
113,165,141,189
5,2,0,35
113,105,238,116
4,4,36,13
113,179,185,155
113,111,137,118
4,12,13,24
4,13,0,8
113,220,537,139
137,322,314,61
113,116,105,149
137,76,59,118
38,521,839,465
5,6,3,7
137,2,0,44
5,6,7,11
137,56,67,95
38,641,771,848
4,8,13,13
5,10,15,2
